日期,开盘价,最高价,最低价,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-02-25,1374.2990000000,1384.7330000000,1372.3900000000,1384.4180000000,3047109500,51437434000.0000000000,0.0085768717,,同花顺概念指数历史,0.7958750456,2026-02-25,514.3743400000,24458.6092301300,0.0210304002
2026-02-26,1385.0020000000,1386.2260000000,1370.9220000000,1373.7280000000,3038843800,53711835000.0000000000,-0.0077216563,,同花顺概念指数历史,0.8004529780,2026-02-26,537.1183500000,25237.6097035800,0.0212824573
2026-02-27,1371.4070000000,1379.8240000000,1368.8490000000,1379.5570000000,2618077300,45768094000.0000000000,0.0042431981,,同花顺概念指数历史,0.6980608654,2026-02-27,457.6809400000,24726.3430202300,0.0185098516
2026-03-02,1362.9110000000,1367.7250000000,1336.4490000000,1344.3300000000,3929369300,66591927000.0000000000,-0.0255350087,,同花顺概念指数历史,1.0580533978,2026-03-02,665.9192700000,30044.0054521200,0.0221647966
2026-03-03,1345.6500000000,1352.7310000000,1306.2220000000,1307.0260000000,3782081700,64889494000.0000000000,-0.0277491390,,同花顺概念指数历史,1.0659618246,2026-03-03,648.8949400000,31113.3003133200,0.0208558698
2026-03-04,1299.2410000000,1312.2980000000,1290.0060000000,1296.7770000000,3000192500,50739447000.0000000000,-0.0078414660,,同花顺概念指数历史,0.8847974215,2026-03-04,507.3944700000,23523.6635578900,0.0215695344
2026-03-05,1312.7260000000,1320.1180000000,1303.6200000000,1309.9550000000,2561281500,45033529000.0000000000,0.0101621173,,同花顺概念指数历史,0.7798587208,2026-03-05,450.3352900000,23768.5069028300,0.0189467219
2026-03-06,1306.8460000000,1347.4380000000,1305.5520000000,1346.9500000000,3171813600,55901134000.0000000000,0.0282414281,,同花顺概念指数历史,0.9831178714,2026-03-06,559.0113400000,21845.8783081400,0.0255888700
2026-03-09,1332.8480000000,1342.8060000000,1322.5380000000,1339.8370000000,3322661900,55904004000.0000000000,-0.0052808196,,同花顺概念指数历史,1.0449553192,2026-03-09,559.0400400000,26327.0866364700,0.0212344058
2026-03-10,1348.5380000000,1366.7190000000,1348.5380000000,1366.5490000000,2834060300,53415839000.0000000000,0.0199367535,,同花顺概念指数历史,0.9056248703,2026-03-10,534.1583900000,23842.4380489600,0.0224036816
2026-03-11,1368.4630000000,1368.6650000000,1354.8690000000,1358.0750000000,2589599800,48087744000.0000000000,-0.0062010217,,同花顺概念指数历史,0.8333610707,2026-03-11,480.8774400000,24937.7441743200,0.0192831171
2026-03-12,1357.9410000000,1357.9410000000,1342.2160000000,1346.8030000000,2727295000,47542290000.0000000000,-0.0082999834,,同花顺概念指数历史,0.8822278478,2026-03-12,475.4229000000,24280.1112837900,0.0195807546
2026-03-13,1344.3880000000,1356.2730000000,1338.9180000000,1341.1420000000,2843220900,49115593000.0000000000,-0.0042032873,,同花顺概念指数历史,0.9211996939,2026-03-13,491.1559300000,23863.2230089600,0.0205821288
2026-03-16,1340.2070000000,1352.1330000000,1338.5590000000,1348.4030000000,2659303100,48802264000.0000000000,0.0054140427,,同花顺概念指数历史,0.8870126945,2026-03-16,488.0226400000,23124.6795113100,0.0211039742
2026-03-17,1349.2000000000,1365.0500000000,1337.8050000000,1337.8050000000,2948699500,55893331000.0000000000,-0.0078596681,,同花顺概念指数历史,0.9939968456,2026-03-17,558.9333100000,21942.0649914900,0.0254731408
2026-03-18,1339.5260000000,1349.6930000000,1332.0020000000,1349.1450000000,2503018000,47202002000.0000000000,0.0084765717,,同花顺概念指数历史,0.8572553520,2026-03-18,472.0200200000,20331.7537766600,0.0232159028
2026-03-19,1338.6870000000,1342.4420000000,1314.2370000000,1318.0910000000,2734534900,47340291000.0000000000,-0.0230175407,,同花顺概念指数历史,0.9379845447,2026-03-19,473.4029100000,20971.3922117400,0.0225737474
2026-03-20,1320.3550000000,1329.6710000000,1291.0530000000,1291.0530000000,2744474600,47375543000.0000000000,-0.0205129995,,同花顺概念指数历史,0.9436165499,2026-03-20,473.7554300000,22716.3263861600,0.0208552836
2026-03-23,1273.0610000000,1273.0610000000,1212.3800000000,1219.0790000000,4105348700,65048404000.0000000000,-0.0557482923,,同花顺概念指数历史,1.3737924286,2026-03-23,650.4840400000,24149.5062237900,0.0269357077
2026-03-24,1240.8250000000,1265.5550000000,1233.8320000000,1265.3230000000,3307770400,56504142000.0000000000,0.0379335548,,同花顺概念指数历史,1.0940428090,2026-03-24,565.0414200000,20679.2392575300,0.0273240912
2026-03-25,1271.8670000000,1285.0280000000,1271.1940000000,1280.2840000000,2694454700,47204247000.0000000000,0.0118238584,,同花顺概念指数历史,0.8964169774,2026-03-25,472.0424700000,21628.2560497700,0.0218252673
2026-03-26,1280.3280000000,1299.1790000000,1265.7370000000,1269.8170000000,2684795100,48396698000.0000000000,-0.0081755298,,同花顺概念指数历史,0.8984949393,2026-03-26,483.9669800000,19306.3712748200,0.0250677340
2026-03-27,1259.4740000000,1324.0390000000,1259.2850000000,1322.6710000000,3958370000,76399719000.0000000000,0.0416233205,,同花顺概念指数历史,1.2956523903,2026-03-27,763.9971900000,18400.9027574700,0.0415195493
2026-03-30,1313.9640000000,1340.8340000000,1313.9150000000,1338.7040000000,4251177200,79534650000.0000000000,0.0121216841,,同花顺概念指数历史,1.3842037585,2026-03-30,795.3465000000,19038.6734972200,0.0417753107
2026-03-31,1339.6020000000,1361.5070000000,1332.9410000000,1333.7770000000,4193850000,80140992000.0000000000,-0.0036804252,,同花顺概念指数历史,1.3564445664,2026-03-31,801.4099200000,19741.5391694700,0.0405951083
2026-04-01,1347.9050000000,1396.7730000000,1338.2280000000,1396.7730000000,5901600500,119641735000.0000000000,0.0472312838,,同花顺概念指数历史,1.8232449585,2026-04-01,1196.4173500000,19970.1766830600,0.0599102035
2026-04-02,1395.0010000000,1421.4960000000,1391.1040000000,1409.2410000000,7076879900,125063983000.0000000000,0.0089262894,,同花顺概念指数历史,2.0437778139,2026-04-02,1250.6398300000,18300.4394615600,0.0683393332
2026-04-03,1393.3760000000,1396.8770000000,1372.2770000000,1374.7420000000,6525859300,102658494000.0000000000,-0.0244805537,,同花顺概念指数历史,1.7975847108,2026-04-03,1026.5849400000,16442.1047086000,0.0624363461
2026-04-07,1374.5190000000,1394.4570000000,1349.6910000000,1382.5680000000,6378103800,92597098000.0000000000,0.0056927045,,同花顺概念指数历史,1.6859371303,2026-04-07,925.9709800000,16046.0214682200,0.0577072006
2026-04-08,1399.8220000000,1409.7830000000,1380.2600000000,1398.1480000000,6593767400,105078141000.0000000000,0.0112688851,,同花顺概念指数历史,1.6604359510,2026-04-08,1050.7814100000,24188.7404665700,0.0434409312
2026-04-09,1390.6070000000,1412.9320000000,1370.4970000000,1373.3070000000,6434807400,98375684000.0000000000,-0.0177670747,,同花顺概念指数历史,1.5455779281,2026-04-09,983.7568400000,21213.3297424300,0.0463744661
2026-04-10,1372.8260000000,1395.5180000000,1363.9240000000,1377.2300000000,5795706400,88543631000.0000000000,0.0028566082,,同花顺概念指数历史,1.3425972324,2026-04-10,885.4363100000,23055.1713283700,0.0384051065
2026-04-13,1371.2330000000,1371.2750000000,1358.1810000000,1363.1160000000,4586953800,77393033000.0000000000,-0.0102481067,,同花顺概念指数历史,1.0415488547,2026-04-13,773.9303300000,21356.9160025500,0.0362379255
2026-04-14,1368.6940000000,1374.5730000000,1350.2050000000,1374.5730000000,4593655100,77283868000.0000000000,0.0084050074,,同花顺概念指数历史,1.0206554411,2026-04-14,772.8386800000,23672.1482430600,0.0326475938
2026-04-15,1390.9870000000,1410.4760000000,1369.9530000000,1403.6820000000,7530670400,117854984000.0000000000,0.0211767582,,同花顺概念指数历史,1.5921786361,2026-04-15,1178.5498400000,24008.2229098300,0.0490894243
2026-04-16,1399.9390000000,1403.1900000000,1386.5440000000,1402.4050000000,6624268500,94690671000.0000000000,-0.0009097502,,同花顺概念指数历史,1.3420718361,2026-04-16,946.9067100000,23191.5994568700,0.0408297285
2026-04-17,1397.3800000000,1397.3800000000,1372.3380000000,1382.7420000000,5320024800,87904816000.0000000000,-0.0140209141,,同花顺概念指数历史,1.0503240896,2026-04-17,879.0481600000,24084.2309842100,0.0364989092
2026-04-20,1380.2050000000,1383.9940000000,1374.8410000000,1380.8920000000,4617762500,76197987000.0000000000,-0.0013379213,,同花顺概念指数历史,0.8951248918,2026-04-20,761.9798700000,25645.9189742800,0.0297115448
2026-04-21,1378.1620000000,1387.3590000000,1359.9560000000,1365.8780000000,4097964700,65090062000.0000000000,-0.0108726823,,同花顺概念指数历史,0.7944221362,2026-04-21,650.9006200000,23764.1044726300,0.0273900757
2026-04-22,1361.4240000000,1373.0280000000,1355.9640000000,1372.9870000000,3923797000,65602156000.0000000000,0.0052047108,,同花顺概念指数历史,0.7561433915,2026-04-22,656.0215600000,25420.9450367800,0.0258063404
2026-04-23,1370.2230000000,1370.2230000000,1350.4740000000,1354.2920000000,4282019900,77512763000.0000000000,-0.0136162979,,同花顺概念指数历史,0.8127431444,2026-04-23,775.1276300000,27863.8752774900,0.0278183714
2026-04-24,1347.9360000000,1353.6780000000,1335.1810000000,1346.8000000000,4071455500,70721005000.0000000000,-0.0055320418,,同花顺概念指数历史,0.7627398470,2026-04-24,707.2100500000,26133.2674389100,0.0270616773
2026-04-27,1342.8730000000,1349.5160000000,1332.5160000000,1348.6490000000,4423257200,74515497000.0000000000,0.0013728839,,同花顺概念指数历史,0.8250530613,2026-04-27,745.1549700000,25709.6175571800,0.0289835105
2026-04-28,1348.1240000000,1364.5160000000,1337.1040000000,1341.5950000000,4616249400,86470922000.0000000000,-0.0052304195,,同花顺概念指数历史,0.8581294123,2026-04-28,864.7092200000,25173.7165772300,0.0343496844
