entry_signal_date,entry_date,exit_signal_date,exit_date,holding_calendar_days,starting_equity,ending_equity,entry_notional,exit_notional,entry_commission,exit_commission,stamp_duty,cash_dividends,bonus_shares,pnl,return,entry_prices,exit_prices,entry_shares,exit_shares
2020-12-29,2020-12-30,2020-12-30,2020-12-31,1,924836.4446999995,919860.1236999995,924296.0,920794.0,277.28880000000004,276.2382,920.7940000000001,0.0,0.0,-4976.320999999996,-0.0053807578934826975,"{""sh.601988"": 3.17, ""sh.601398"": 4.97, ""sh.601939"": 6.26, ""sh.601288"": 3.14}","{""sh.601988"": 3.16, ""sh.601398"": 4.95, ""sh.601939"": 6.23, ""sh.601288"": 3.13}","{""sh.601988"": 72900.0, ""sh.601398"": 46500.0, ""sh.601939"": 36900.0, ""sh.601288"": 73600.0}","{""sh.601988"": 72900.0, ""sh.601398"": 46500.0, ""sh.601939"": 36900.0, ""sh.601288"": 73600.0}"
2021-01-28,2021-01-29,2021-02-09,2021-02-10,12,919860.1236999995,947418.0690999995,918918.0,947984.0,275.67539999999997,284.3952,947.984,0.0,0.0,27557.945399999968,0.029958843404530096,"{""sh.601988"": 3.16, ""sh.601398"": 5.03, ""sh.601939"": 6.69, ""sh.601288"": 3.14}","{""sh.601988"": 3.19, ""sh.601398"": 5.24, ""sh.601939"": 7.13, ""sh.601288"": 3.17}","{""sh.601988"": 72700.0, ""sh.601398"": 45700.0, ""sh.601939"": 34300.0, ""sh.601288"": 73200.0}","{""sh.601988"": 72700.0, ""sh.601398"": 45700.0, ""sh.601939"": 34300.0, ""sh.601288"": 73200.0}"
2021-02-24,2021-02-25,2021-02-25,2021-02-26,1,947418.0690999995,955523.7650999995,946114.0,955746.0,283.83419999999995,286.7238,955.746,0.0,0.0,8105.695999999996,0.008555564079224295,"{""sh.601988"": 3.22, ""sh.601398"": 5.29, ""sh.601939"": 7.18, ""sh.601288"": 3.23}","{""sh.601988"": 3.23, ""sh.601398"": 5.39, ""sh.601939"": 7.27, ""sh.601288"": 3.25}","{""sh.601988"": 73500.0, ""sh.601398"": 44700.0, ""sh.601939"": 32900.0, ""sh.601288"": 73300.0}","{""sh.601988"": 73500.0, ""sh.601398"": 44700.0, ""sh.601939"": 32900.0, ""sh.601288"": 73300.0}"
2021-02-26,2021-03-01,2021-03-03,2021-03-04,3,955523.7650999995,964488.9632999996,954465.0,964971.0,286.33950000000004,289.49129999999997,964.971,0.0,0.0,8965.1982000001,0.009382496309824231,"{""sh.601988"": 3.24, ""sh.601398"": 5.36, ""sh.601939"": 7.25, ""sh.601288"": 3.26}","{""sh.601988"": 3.25, ""sh.601398"": 5.43, ""sh.601939"": 7.43, ""sh.601288"": 3.27}","{""sh.601988"": 73700.0, ""sh.601398"": 44500.0, ""sh.601939"": 32900.0, ""sh.601288"": 73200.0}","{""sh.601988"": 73700.0, ""sh.601398"": 44500.0, ""sh.601939"": 32900.0, ""sh.601288"": 73200.0}"
2021-03-04,2021-03-05,2021-03-30,2021-03-31,26,964488.9632999996,968085.8251999996,963406.0,968551.0,289.0217999999999,290.5653,968.551,0.0,0.0,3596.861900000018,0.0037292929591369846,"{""sh.601988"": 3.26, ""sh.601398"": 5.43, ""sh.601939"": 7.4, ""sh.601288"": 3.3}","{""sh.601988"": 3.32, ""sh.601398"": 5.47, ""sh.601939"": 7.21, ""sh.601288"": 3.37}","{""sh.601988"": 73900.0, ""sh.601398"": 44400.0, ""sh.601939"": 32500.0, ""sh.601288"": 73000.0}","{""sh.601988"": 73900.0, ""sh.601398"": 44400.0, ""sh.601939"": 32500.0, ""sh.601288"": 73000.0}"
2021-04-12,2021-04-13,2021-04-19,2021-04-20,7,968085.8251999996,957416.2961999996,967127.0,957993.0,290.1381,287.39789999999994,957.9929999999999,0.0,0.0,-10669.52899999998,-0.01102126353084008,"{""sh.601988"": 3.33, ""sh.601398"": 5.48, ""sh.601939"": 7.31, ""sh.601288"": 3.4}","{""sh.601988"": 3.32, ""sh.601398"": 5.43, ""sh.601939"": 7.23, ""sh.601288"": 3.35}","{""sh.601988"": 72600.0, ""sh.601398"": 44100.0, ""sh.601939"": 33100.0, ""sh.601288"": 71100.0}","{""sh.601988"": 72600.0, ""sh.601398"": 44100.0, ""sh.601939"": 33100.0, ""sh.601288"": 71100.0}"
2021-04-26,2021-04-27,2021-04-28,2021-04-29,2,957416.2961999996,948629.0827999995,956662.0,949396.0,286.99859999999995,284.81879999999995,949.396,0.0,0.0,-8787.213400000124,-0.00917804870762772,"{""sh.601988"": 3.25, ""sh.601398"": 5.26, ""sh.601939"": 7.03, ""sh.601288"": 3.24}","{""sh.601988"": 3.25, ""sh.601398"": 5.2, ""sh.601939"": 6.94, ""sh.601288"": 3.22}","{""sh.601988"": 73600.0, ""sh.601398"": 45500.0, ""sh.601939"": 34000.0, ""sh.601288"": 73800.0}","{""sh.601988"": 73600.0, ""sh.601398"": 45500.0, ""sh.601939"": 34000.0, ""sh.601288"": 73800.0}"
2021-04-30,2021-05-06,2021-05-12,2021-05-13,7,948629.0827999995,966828.9381999995,947800.0,967542.0,284.34000000000003,290.26259999999996,967.5419999999999,0.0,0.0,18199.8554,0.019185428456695436,"{""sh.601988"": 3.26, ""sh.601398"": 5.11, ""sh.601939"": 6.74, ""sh.601288"": 3.2}","{""sh.601988"": 3.27, ""sh.601398"": 5.25, ""sh.601939"": 6.97, ""sh.601288"": 3.26}","{""sh.601988"": 72700.0, ""sh.601398"": 46400.0, ""sh.601939"": 35100.0, ""sh.601288"": 74100.0}","{""sh.601988"": 72700.0, ""sh.601398"": 46400.0, ""sh.601939"": 35100.0, ""sh.601288"": 74100.0}"
2021-05-13,2021-05-14,2021-05-14,2021-05-17,3,966828.9381999995,967289.0637999995,965790.0,967798.0,289.73699999999997,290.33939999999996,967.798,0.0,0.0,460.1256000000285,0.00047591211001262596,"{""sh.601988"": 3.28, ""sh.601398"": 5.24, ""sh.601939"": 6.95, ""sh.601288"": 3.27}","{""sh.601988"": 3.28, ""sh.601398"": 5.26, ""sh.601939"": 6.96, ""sh.601288"": 3.28}","{""sh.601988"": 73600.0, ""sh.601398"": 46100.0, ""sh.601939"": 34700.0, ""sh.601288"": 73900.0}","{""sh.601988"": 73600.0, ""sh.601398"": 46100.0, ""sh.601939"": 34700.0, ""sh.601288"": 73900.0}"
2021-06-15,2021-06-16,2021-06-25,2021-06-28,12,967289.0637999995,970210.2240999995,966033.0,956846.0,289.8099,287.05379999999997,956.846,13641.869999999999,0.0,2921.1602999999886,0.003019945546085466,"{""sh.601988"": 3.07, ""sh.601398"": 5.16, ""sh.601939"": 6.7, ""sh.601288"": 3.28}","{""sh.601988"": 3.09, ""sh.601398"": 5.23, ""sh.601939"": 6.74, ""sh.601288"": 3.07}","{""sh.601988"": 78700.0, ""sh.601398"": 46800.0, ""sh.601939"": 36000.0, ""sh.601288"": 73700.0}","{""sh.601988"": 78700.0, ""sh.601398"": 46800.0, ""sh.601939"": 36000.0, ""sh.601288"": 73700.0}"
2021-06-29,2021-06-30,2021-06-30,2021-07-01,1,970210.2240999995,970453.2556999995,969146.0,970942.0,290.74379999999996,291.28259999999995,970.9420000000001,0.0,0.0,243.03159999998752,0.0002504937527590291,"{""sh.601988"": 3.08, ""sh.601398"": 5.18, ""sh.601939"": 6.61, ""sh.601288"": 3.03}","{""sh.601988"": 3.08, ""sh.601398"": 5.17, ""sh.601939"": 6.65, ""sh.601288"": 3.04}","{""sh.601988"": 78700.0, ""sh.601398"": 46800.0, ""sh.601939"": 36600.0, ""sh.601288"": 80000.0}","{""sh.601988"": 78700.0, ""sh.601398"": 46800.0, ""sh.601939"": 36600.0, ""sh.601288"": 80000.0}"
